cell,n,n_models,n_items,n_obs,singular_fit_rate,slope_zero_rate,model_zero_rate,item_zero_rate,corr_finite_rate,corr_boundary_rate_unconditional,corr_boundary_rate_among_finite,median_abs_corr_among_finite,median_fitted_slope_sd,median_fitted_model_intercept_sd,median_fitted_item_sd,mean_estimate,mean_bias,median_se,ci_coverage,rejection_rate,mean_realized_corr,median_min_model_n_self,median_min_model_n_control,median_within_self_ss,mean_total_within_self_ss,mean_rho_model_realized
P5_A_24x100,30,24,100,2400,0.9666666666666667,0.3,0.4666666666666667,0.5666666666666667,0.5666666666666667,0.43333333333333335,0.7647058823529411,1.0,0.1128,0.03145,0.0,0.10144,0.0014399999999999977,0.0881,1.0,0.3,-1.098417770326706e-19,50.0,50.0,25.0,600.0,0.2488465196112019
P5_B_24x400,30,24,400,9600,0.9333333333333333,0.2,0.36666666666666664,0.43333333333333335,0.7333333333333333,0.6333333333333333,0.8636363636363636,1.0,0.05315,0.027700000000000002,0.0339,0.11264333333333335,0.012643333333333335,0.043899999999999995,0.9666666666666667,0.7,-1.1606228982583132e-19,200.0,200.0,100.0,2400.0,0.2488465196112019
P5_C_50x100,30,50,100,5000,0.9666666666666667,0.26666666666666666,0.4666666666666667,0.4666666666666667,0.6333333333333333,0.6,0.9473684210526315,1.0,0.13785,0.008199999999999999,0.0294,0.11569666666666666,0.015696666666666668,0.0625,0.9666666666666667,0.5333333333333333,1.6024075972273482e-19,50.0,50.0,25.0,1250.0,0.27142845528085374
P5_D_50x400,30,50,400,20000,0.9666666666666667,0.23333333333333334,0.43333333333333335,0.3333333333333333,0.6333333333333333,0.5333333333333333,0.8421052631578947,1.0,0.0443,0.012400000000000001,0.057300000000000004,0.10552666666666667,0.005526666666666667,0.03005,0.9333333333333333,0.9,-1.1288685991542976e-19,200.0,200.0,100.0,5000.0,0.27142845528085374
P5_E_100x100,30,100,100,10000,0.9666666666666667,0.26666666666666666,0.4,0.4,0.7666666666666667,0.6666666666666666,0.8695652173913043,1.0,0.08055000000000001,0.03455,0.0436,0.11481999999999999,0.01482,0.0424,0.9666666666666667,0.7666666666666667,5.8077387134359066e-21,50.0,50.0,25.0,2500.0,0.27399542090019363
P5_F_100x400,30,100,400,40000,0.8666666666666667,0.06666666666666667,0.36666666666666664,0.3,0.6333333333333333,0.5,0.7894736842105263,1.0,0.048850000000000005,0.01655,0.035250000000000004,0.10517333333333333,0.005173333333333334,0.0214,0.9,1.0,8.090030083872321e-22,200.0,200.0,100.0,10000.0,0.27399542090019363
