rep,seed,cell,n_models,n_items,true_effect,slope_sd,tau_model,tau_item,rho_model,beta0,beta_x,beta_c,n_obs,realized_corr,overall_self_prop,min_model_n_self,min_model_n_control,min_model_self_prop,max_model_self_prop,median_model_self_prop,corr_model_selfprop_X,min_within_self_ss,median_within_self_ss,total_within_self_ss,rho_model_realized,p_min,p_max,pct_outcome_p_below_05,pct_outcome_p_above_95,converged,singular,warnings,estimate,se,p_value,ci_low,ci_high,rejected_at_05,bias,ci_covers_truth,error,model_intercept_sd,model_slope_sd,model_intercept_slope_corr,item_intercept_sd,model_cov_min_eigenvalue,theta,theta_lower,singular_component,fit_error,singular_bool,model_slope_sd_num,model_intercept_sd_num,item_intercept_sd_num,model_intercept_slope_corr_num,estimate_num,bias_num,se_num,p_value_num,ci_low_num,ci_high_num,slope_zero,model_zero,item_zero,corr_finite,corr_boundary
2,92622002,P5_E_100x100,100,100,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,10000,2.254058283048882e-18,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,2500.0,0.2981693702651827,0.5341546016642575,0.7306195346908808,0.0,0.0,True,True,[],0.105,0.0493,0.033,0.0085,0.2016,True,0.005,True,,0.1268,0.2637,-1,0.0737,3.2479e-14,"[0.0737, 0.1268, -0.2637, 4.1591e-07]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.2637,0.1268,0.0737,-1.0,0.105,0.005,0.0493,0.033,0.0085,0.2016,False,False,False,True,True
2,92622002,P5_F_100x400,100,400,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,40000,6.915860641172711e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.2981693702651827,0.5183792068557888,0.7401800507157881,0.0,0.0,True,True,[],0.1096,0.0225,1.1343e-06,0.0655,0.1538,True,0.0096,True,,0.0355,0.0867,-1,0.0937,2.1684e-19,"[0.0937, 0.0355, -0.0867, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.0867,0.0355,0.0937,-1.0,0.1096,0.0096,0.0225,1.1343e-06,0.0655,0.1538,False,False,False,True,True
3,92622003,P5_A_24x100,24,100,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,2400,-1.3747193933151303e-18,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.10206871470219167,0.5250959062250297,0.7169861541208892,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),0.148,0.0876,0.0912,-0.0237,0.3197,False,0.048,True,,0.0,0.1226,NaN,0.0,0.0,"[0, 0, -0.121, 0.0196]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,0.1226,0.0,0.0,,0.148,0.048,0.0876,0.0912,-0.0237,0.3197,False,True,True,False,False
3,92622003,P5_B_24x400,24,400,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,9600,2.4994898060275122e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,2400.0,0.10206871470219167,0.5250959062250297,0.7205090999664268,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),0.1796,0.0508,0.0004,0.0799,0.2793,True,0.0796,True,,0.0951,0.1389,-0.4297,0.0,0.0065,"[0, 0.0951, -0.0597, 0.1255]","[0, 0, '-Inf', 0]",item_intercept_sd_zero,,True,0.1389,0.0951,0.0,-0.4297,0.1796,0.0796,0.0508,0.0004,0.0799,0.2793,False,False,True,True,False
3,92622003,P5_C_50x100,50,100,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,5000,1.6601807374430866e-18,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,1250.0,0.17569066175577636,0.5250959062250297,0.7216437976720265,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),0.124,0.0598,0.038,0.0069,0.2412,True,0.024,True,,0.0,0.09,NaN,0.0,0.0,"[0, 0, -0.09, 0.0022]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,0.09,0.0,0.0,,0.124,0.024,0.0598,0.038,0.0069,0.2412,False,True,True,False,False
3,92622003,P5_D_50x400,50,400,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,20000,-5.929216919439595e-20,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,5000.0,0.17569066175577636,0.5250959062250297,0.7251309922764958,0.0,0.0,True,True,[],0.127,0.0314,0.0001,0.0655,0.1886,True,0.027,True,,0.0636,0.0798,0.2133,0.0,0.0036,"[0, 0.0636, 0.017, 0.0779]","[0, 0, '-Inf', 0]",item_intercept_sd_zero,,True,0.0798,0.0636,0.0,0.2133,0.127,0.027,0.0314,0.0001,0.0655,0.1886,False,False,True,True,False
3,92622003,P5_E_100x100,100,100,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,10000,0.0,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,2500.0,0.26705320642616154,0.5204682669476899,0.7314758036691819,0.0,0.0,True,True,[],0.1116,0.0435,0.0103,0.0263,0.1968,True,0.0116,True,,0.0,0.1294,NaN,0.0775,0.0,"[0.0775, 0, -0.1294, 7.5619e-06]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,0.1294,0.0,0.0775,,0.1116,0.0116,0.0435,0.0103,0.0263,0.1968,False,True,False,False,False
3,92622003,P5_F_100x400,100,400,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,40000,-3.272059763579444e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.26705320642616154,0.5204682669476899,0.7407239310212493,0.0,0.0,True,False,[],0.1294,0.0225,9.1603e-09,0.0852,0.1735,True,0.0294,True,,0.0503,0.0858,0.0675,0.0215,0.0025,"[0.0215, 0.0503, 0.0058, 0.0856]","[0, 0, '-Inf', 0]",non_singular,,False,0.0858,0.0503,0.0215,0.0675,0.1294,0.0294,0.0225,9.1603e-09,0.0852,0.1735,False,False,False,True,False
4,92622004,P5_A_24x100,24,100,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,2400,-6.800768479643574e-19,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.6118607722136382,0.5408028828591156,0.7305910342842594,0.0,0.0,True,False,[],0.1841,0.0911,0.0433,0.0055,0.3626,True,0.0841,True,,0.0515,0.1303,-0.9873,0.1375,0.0001,"[0.1375, 0.0515, -0.1286, 0.0207]","[0, 0, '-Inf', 0]",non_singular,,False,0.1303,0.0515,0.1375,-0.9873,0.1841,0.0841,0.0911,0.0433,0.0055,0.3626,False,False,False,True,False
4,92622004,P5_B_24x400,24,400,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,9600,-1.3601536959287146e-18,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,2400.0,0.6118607722136382,0.5359034247548601,0.7305910342842594,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),0.1492,0.0474,0.0016,0.0563,0.2421,True,0.0492,True,,0.0386,0.1008,1,0.0,2.1684e-19,"[0, 0.0386, 0.1008, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.1008,0.0386,0.0,1.0,0.1492,0.0492,0.0474,0.0016,0.0563,0.2421,False,False,True,True,True
