condition,rep,seed,model_spec,n_models,n_items,target_corr,true_effect,rho_model_true,slope_sd_true,tau_model_true,tau_item_true,fit_error,generated_rows,p_min,p_max,pct_below_low,pct_above_high,near_separation,realized_corr,gamma_x,rho_model_target,rho_model_realized,converged,singular,warnings,r_stderr,estimate,se,p_value,ci_low,ci_high,rejected_at_05,bias,ci_covers_truth,model_intercept_sd,model_slope_sd,model_intercept_slope_corr,item_intercept_sd,model_cov_min_eigenvalue,theta,theta_lower,singular_component_reported,singular_component_reclassified
s0p02_m0p15_i0p03,2,92619002,M1,24,100,0.6,0.1,0.3,0.02,0.15,0.03,,2400,0.05758821100781587,0.93181763003483,0.0,0.0,False,0.6003127737974744,2.0525079882167097,0.3,0.16104355535829615,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.108,0.1178,0.3594,-0.3389,0.1229,False,-0.208,True,0.2669,0.2181,-1.0,0.0102,1.8732e-14,"[0.0102, 0.2669, -0.2181, 1.7677e-07]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p02_m0p15_i0p15,2,92619002,M1,24,100,0.6,0.1,0.3,0.02,0.15,0.15,,2400,0.05758821100781587,0.93181763003483,0.0,0.0,False,0.6003127737974744,2.0525079882167097,0.3,0.16104355535829615,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.1499,0.1218,0.2185,-0.3887,0.0889,False,-0.2499,False,0.2822,0.2512,-1.0,0.1486,6.9389e-18,"[0.1486, 0.2822, -0.2512, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p1_m0p03_i0p03,2,92619002,M1,24,100,0.6,0.1,0.3,0.1,0.03,0.03,,2400,0.05758821100781587,0.93181763003483,0.0,0.0,False,0.6003127737974744,2.0525079882167097,0.3,0.16104355535829604,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.0771,0.1147,0.5014,-0.3018,0.1477,False,-0.1771,True,0.1602,0.1874,-1.0,0.0099,0.0,"[0.0099, 0.1602, -0.1874, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p1_m0p03_i0p15,2,92619002,M1,24,100,0.6,0.1,0.3,0.1,0.03,0.15,,2400,0.05758821100781587,0.93181763003483,0.0,0.0,False,0.6003127737974744,2.0525079882167097,0.3,0.16104355535829604,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.1262,0.1147,0.2713,-0.3511,0.0987,False,-0.2262,False,0.1581,0.1763,-1.0,0.2065,0.0,"[0.2065, 0.1581, -0.1763, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p1_m0p15_i0p03,2,92619002,M1,24,100,0.6,0.1,0.3,0.1,0.15,0.03,,2400,0.05758821100781587,0.93181763003483,0.0,0.0,False,0.6003127737974744,2.0525079882167097,0.3,0.16104355535829593,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.0902,0.1143,0.4302,-0.3142,0.1339,False,-0.1902,True,0.2723,0.1742,-1.0,0.067,6.7654e-15,"[0.067, 0.2723, -0.1742, 9.7685e-08]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p1_m0p15_i0p15,2,92619002,M1,24,100,0.6,0.1,0.3,0.1,0.15,0.15,,2400,0.05758821100781587,0.93181763003483,0.0,0.0,False,0.6003127737974744,2.0525079882167097,0.3,0.16104355535829593,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.1312,0.1211,0.2788,-0.3686,0.1062,False,-0.2312,True,0.2862,0.2436,-1.0,0.1412,0.0,"[0.1412, 0.2862, -0.2436, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p02_m0p03_i0p03,3,92619003,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.08818131015909737,0.9474730778706596,0.0,0.0,False,0.5981647431863538,1.8704745845620199,0.3,0.3224462976029862,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.1191,0.1095,0.2768,-0.3336,0.0955,False,-0.2191,False,0.1188,0.1324,-1.0,0.0,1.7347e-18,"[0, 0.1188, -0.1324, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p02_m0p03_i0p15,3,92619003,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.15,,2400,0.08818131015909737,0.9474730778706596,0.0,0.0,False,0.5981647431863538,1.8704745845620199,0.3,0.3224462976029862,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.0619,0.1132,0.5843,-0.2837,0.1599,False,-0.1619,True,0.1549,0.1812,-1.0,0.1852,1.7347e-18,"[0.1852, 0.1549, -0.1812, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p02_m0p15_i0p03,3,92619003,M1,24,100,0.6,0.1,0.3,0.02,0.15,0.03,,2400,0.08818131015909737,0.9474730778706596,0.0,0.0,False,0.5981647431863538,1.8704745845620199,0.3,0.32244629760298615,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.1359,0.1154,0.239,-0.3621,0.0903,False,-0.2359,False,0.2638,0.2112,-0.6492,2.0485e-07,0.0188,"[2.0485e-07, 0.2638, -0.1371, 0.1607]","[0, 0, ""-Inf"", 0]",item_intercept_sd_zero,item_intercept_sd_zero
s0p02_m0p15_i0p15,3,92619003,M1,24,100,0.6,0.1,0.3,0.02,0.15,0.15,,2400,0.08818131015909737,0.9474730778706596,0.0,0.0,False,0.5981647431863538,1.8704745845620199,0.3,0.32244629760298615,True,False,[],,-0.091,0.12,0.4481,-0.3263,0.1442,False,-0.191,True,0.2031,0.2499,-0.8207,0.0401,0.0089,"[0.0401, 0.2031, -0.2051, 0.1428]","[0, 0, ""-Inf"", 0]",non_singular,non_singular
