model_spec,n_models,n_attempted,n_fitted,n_fit_errors,convergence_rate,singular_fit_rate,n_singular,corr_abs_ge_0_999_rate,slope_sd_lt_1e_4_rate,item_sd_lt_1e_4_rate,median_model_slope_sd,median_abs_model_corr,median_model_cov_min_eigenvalue,mean_estimate,mean_bias,rejection_rate,near_separation_rate
M1,8,30,30,0,1.0,1.0,30,0.6,0.36666666666666664,0.6,0.11259999999999999,1.0,0.0,0.15787666666666667,0.05787666666666668,0.1,0.43333333333333335
M1,12,30,30,0,1.0,1.0,30,0.43333333333333335,0.43333333333333335,0.5666666666666667,0.0466,1.0,0.0,0.10688,0.006880000000000001,0.06666666666666667,0.0
M1,24,30,30,0,1.0,0.9666666666666667,29,0.4,0.4,0.43333333333333335,0.04385,1.0,0.0,0.11873333333333332,0.018733333333333334,0.1,0.0
M1,50,30,30,0,1.0,0.9666666666666667,29,0.5333333333333333,0.3,0.5666666666666667,0.0796,1.0,0.0,0.10733999999999999,0.0073399999999999984,0.3,0.03333333333333333
M2,8,30,30,0,1.0,0.9666666666666667,29,,,0.6,,,0.0,0.16183000000000003,0.06183000000000002,0.13333333333333333,0.43333333333333335
M2,12,30,30,0,1.0,1.0,30,,,0.5666666666666667,,,0.0,0.10887666666666666,0.00887666666666667,0.06666666666666667,0.0
M2,24,30,30,0,1.0,0.9333333333333333,28,,,0.43333333333333335,,,0.0,0.11888333333333333,0.018883333333333332,0.1,0.0
M2,50,30,30,0,1.0,1.0,30,,,0.5666666666666667,,,0.0,0.10653333333333333,0.006533333333333333,0.3,0.03333333333333333
