rep,seed,cell,fit_spec,n_models,n_items,n_obs,true_rho,true_effect,true_slope_sd,true_tau_model,true_tau_item,dataset_sha256,realized_corr,overall_self_prop,min_model_n_self,min_model_n_control,min_model_self_prop,max_model_self_prop,median_model_self_prop,corr_model_selfprop_X,min_within_self_ss,median_within_self_ss,total_within_self_ss,rho_model_realized,p_min,p_max,pct_outcome_p_below_05,pct_outcome_p_above_95,fit_error,r_fit_spec,converged,singular,warnings,estimate,se,p_value,ci_low,ci_high,rejected_at_05,bias,ci_covers_truth,model_intercept_sd,model_slope_sd,model_intercept_slope_corr,item_intercept_sd,model_cov_min_eigenvalue,theta,theta_lower,singular_component,slope_zero,model_intercept_zero,item_intercept_zero,corr_boundary
2,92623002,P6_B_LOW_RHO30,M1,24,100,2400,0.3,0.1,0.02,0.03,0.03,38086b653e15a54a3eb2e0f392fb4a18fda143a4122f3f52b406a30dce2e5e1a,2.4945801483392827e-18,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.26853232347009676,0.532092413185081,0.732969963529705,0.0,0.0,,M1,True,True,boundary (singular) fit: see help('isSingular'),-0.075,0.0952,0.4309,-0.2615,0.1116,False,-0.175,True,0.1276,0.1963,-1,0.0,0.0,"[0, 0.1276, -0.1963, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,False,False,True,True
2,92623002,P6_B_LOW_RHO30,M2,24,100,2400,0.3,0.1,0.02,0.03,0.03,38086b653e15a54a3eb2e0f392fb4a18fda143a4122f3f52b406a30dce2e5e1a,2.4945801483392827e-18,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.26853232347009676,0.532092413185081,0.732969963529705,0.0,0.0,,M2,True,True,boundary (singular) fit: see help('isSingular'),-0.0726,0.0863,0.3999,-0.2417,0.0965,False,-0.1726,False,0.0,0.0,NA,0.0,0.0,"[0, 0, 0]","[0, 0, 0]",model_slope_sd_zero,True,True,True,False
2,92623002,P6_C_HIGH_RHO0,M1,100,400,40000,0.0,0.1,0.02,0.03,0.03,af79ea1aea48a51432257203295c978b0499d693bc12f49757102c98484b948d,5.009333757570352e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.028168946129868498,0.5259220670584988,0.7389426173873345,0.0,0.0,,M1,True,True,[],0.1185,0.0211,2.0359e-08,0.0771,0.1599,True,0.0185,True,0.0,0.0358,NaN,0.0266,0.0,"[0.0266, 0, 0.0347, 0.0088]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,False,True,False,False
2,92623002,P6_C_HIGH_RHO0,M2,100,400,40000,0.0,0.1,0.02,0.03,0.03,af79ea1aea48a51432257203295c978b0499d693bc12f49757102c98484b948d,5.009333757570352e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.028168946129868498,0.5259220670584988,0.7389426173873345,0.0,0.0,,M2,True,True,[],0.1185,0.0211,2.0351e-08,0.0771,0.1599,True,0.0185,True,1.1034e-06,0.0358,NA,0.0266,1.2176e-12,"[0.0266, 1.1034e-06, 0.0358]","[0, 0, 0]",model_intercept_sd_zero,False,True,False,False
2,92623002,P6_D_HIGH_RHO30,M1,100,400,40000,0.3,0.1,0.02,0.03,0.03,7314f39b284fa9f1e2e994768d59e815a5c43a93fe8b7257c8325c33ae005f5f,5.009333757570352e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.27103335100446013,0.5259220670584988,0.7402434839153528,0.0,0.0,,M1,True,True,[],0.1187,0.0215,3.3887e-08,0.0765,0.1608,True,0.0187,True,0.0158,0.0537,-1,0.0151,2.5076e-10,"[0.0151, 0.0158, -0.0537, 0.0001]","[0, 0, '-Inf', 0]",model_corr_boundary,False,False,False,True
2,92623002,P6_D_HIGH_RHO30,M2,100,400,40000,0.3,0.1,0.02,0.03,0.03,7314f39b284fa9f1e2e994768d59e815a5c43a93fe8b7257c8325c33ae005f5f,5.009333757570352e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.27103335100446013,0.5259220670584988,0.7402434839153528,0.0,0.0,,M2,True,True,[],0.1187,0.0211,1.9697e-08,0.0773,0.1601,True,0.0187,True,0.0,0.0368,NA,0.0152,0.0,"[0.0152, 0, 0.0368]","[0, 0, 0]",model_intercept_sd_zero,False,True,False,False
3,92623003,P6_A_LOW_RHO0,M1,24,100,2400,0.0,0.1,0.02,0.03,0.03,d0b517ee26324ed27abd935b708d542c26df0ae5fd2edc328385b4a54dafbc2e,-4.1890860421519915e-19,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,-0.031974154760321866,0.5363453060651446,0.7291559375699258,0.0,0.0,,M1,True,True,boundary (singular) fit: see help('isSingular'),0.1613,0.0877,0.0659,-0.0106,0.3332,False,0.0613,True,0.0876,0.1213,1,0.0,0.0,"[0, 0.0876, 0.1213, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,False,False,True,True
3,92623003,P6_A_LOW_RHO0,M2,24,100,2400,0.0,0.1,0.02,0.03,0.03,d0b517ee26324ed27abd935b708d542c26df0ae5fd2edc328385b4a54dafbc2e,-4.1890860421519915e-19,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,-0.031974154760321866,0.5363453060651446,0.7291559375699258,0.0,0.0,,M2,True,True,boundary (singular) fit: see help('isSingular'),0.1594,0.0888,0.0725,-0.0146,0.3335,False,0.0594,True,0.1067,0.1396,NA,0.0,0.0114,"[0, 0.1067, 0.1396]","[0, 0, 0]",item_intercept_sd_zero,False,False,True,False
3,92623003,P6_B_LOW_RHO30,M1,24,100,2400,0.3,0.1,0.02,0.03,0.03,60fd9fffb541b6b1e1524dac18cacedefe547f32014cbfe6f8d1ef8dd78c01a4,-4.1890860421519915e-19,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.2544337698973554,0.5363453060651446,0.7315759479694633,0.0,0.0,,M1,True,True,boundary (singular) fit: see help('isSingular'),0.1572,0.0873,0.0716,-0.0138,0.3282,False,0.0572,True,0.0881,0.1143,1,0.0,0.0,"[0, 0.0881, 0.1143, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,False,False,True,True
3,92623003,P6_B_LOW_RHO30,M2,24,100,2400,0.3,0.1,0.02,0.03,0.03,60fd9fffb541b6b1e1524dac18cacedefe547f32014cbfe6f8d1ef8dd78c01a4,-4.1890860421519915e-19,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.2544337698973554,0.5363453060651446,0.7315759479694633,0.0,0.0,,M2,True,True,boundary (singular) fit: see help('isSingular'),0.1552,0.0877,0.0769,-0.0168,0.3272,False,0.0552,True,0.1106,0.1233,NA,0.0,0.0122,"[0, 0.1106, 0.1233]","[0, 0, 0]",item_intercept_sd_zero,False,False,True,False
