rep,seed,cell,n_models,n_items,true_rho,singular_M1,singular_M2,converged_M1,converged_M2,estimate_M1,estimate_M2,se_M1,se_M2,bias_M1,bias_M2,model_intercept_sd_M1,model_intercept_sd_M2,model_slope_sd_M1,model_slope_sd_M2,item_intercept_sd_M1,item_intercept_sd_M2,model_intercept_slope_corr_M1,model_intercept_slope_corr_M2,model_cov_min_eigenvalue_M1,model_cov_min_eigenvalue_M2,slope_zero_M1,slope_zero_M2,model_intercept_zero_M1,model_intercept_zero_M2,item_intercept_zero_M1,item_intercept_zero_M2,corr_boundary_M1,corr_boundary_M2,singularity_transition,estimate_difference_M2_minus_M1,se_difference_M2_minus_M1
5,92623005,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.0754,0.0755,0.0209,0.0208,-0.0246,-0.0245,0.0433,0.0348,0.016,0.0,0.0507,0.0507,-1,NA,0.0,0.0,False,True,False,False,False,False,True,False,both_singular,0.00010000000000000286,-9.99999999999994e-05
5,92623005,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.076,0.0762,0.0209,0.0208,-0.024,-0.0238,0.0432,0.0338,0.0173,0.0,0.0449,0.0449,-1,NA,0.0,0.0,False,True,False,False,False,False,True,False,both_singular,0.00020000000000000573,-9.99999999999994e-05
6,92623006,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,-0.0302,-0.0302,0.0851,0.0851,-0.1302,-0.1302,0.0,0.0,1.8883e-07,0.0,0.1166,0.1166,NaN,NA,0.0,0.0,True,True,True,True,False,False,False,False,both_singular,0.0,0.0
6,92623006,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,-0.0302,-0.0302,0.0851,0.0851,-0.1302,-0.1302,0.0,0.0,3.5398e-08,0.0,0.1223,0.1223,NaN,NA,0.0,0.0,True,True,True,True,False,False,False,False,both_singular,0.0,0.0
6,92623006,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.0551,0.055,0.0211,0.0208,-0.0449,-0.045,0.0,0.037,0.0341,0.0,0.0,2.7432e-07,NaN,NA,0.0,4.4511e-10,False,True,True,False,True,True,False,False,both_singular,-0.00010000000000000286,-0.00030000000000000165
6,92623006,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.0552,0.055,0.0211,0.0208,-0.0448,-0.045,0.0,0.039,0.0369,0.0,0.0,0.0,NaN,NA,0.0,3.1071e-10,False,True,True,False,True,True,False,False,both_singular,-0.0001999999999999988,-0.00030000000000000165
7,92623007,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.168,0.168,0.0848,0.0848,0.068,0.068,0.0,0.0,2.0405e-07,0.0,0.1715,0.1715,NaN,NA,0.0,0.0,True,True,True,True,False,False,False,False,both_singular,0.0,0.0
7,92623007,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.1643,0.1643,0.0849,0.0849,0.0643,0.0643,1.8728e-06,0.0,3.7065e-06,1.0676e-07,0.18,0.18,-1,NA,-4.039e-28,0.0,True,True,True,True,False,False,True,False,both_singular,0.0,0.0
7,92623007,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.1301,0.1301,0.0215,0.0215,0.0301,0.0301,0.0,0.0,0.0557,0.0557,0.0,0.0,NaN,NA,0.0,0.0,False,False,True,True,True,True,False,False,both_singular,0.0,0.0
7,92623007,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.1301,0.1301,0.0218,0.0218,0.0301,0.0301,0.0,6.7871e-07,0.0637,0.0637,0.0,0.0,NaN,NA,0.0,4.6065e-13,False,False,True,True,True,True,False,False,both_singular,0.0,0.0
