rep,seed,cell,n_models,n_items,true_rho,singular_M1,singular_M2,converged_M1,converged_M2,estimate_M1,estimate_M2,se_M1,se_M2,bias_M1,bias_M2,model_intercept_sd_M1,model_intercept_sd_M2,model_slope_sd_M1,model_slope_sd_M2,item_intercept_sd_M1,item_intercept_sd_M2,model_intercept_slope_corr_M1,model_intercept_slope_corr_M2,model_cov_min_eigenvalue_M1,model_cov_min_eigenvalue_M2,slope_zero_M1,slope_zero_M2,model_intercept_zero_M1,model_intercept_zero_M2,item_intercept_zero_M1,item_intercept_zero_M2,corr_boundary_M1,corr_boundary_M2,singularity_transition,estimate_difference_M2_minus_M1,se_difference_M2_minus_M1
21,92623021,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,-0.006,-0.0042,0.0925,0.0883,-0.106,-0.1042,0.1384,0.0974,0.1641,0.0931,0.0,0.0,-0.6392,NA,0.008,0.0087,False,False,False,False,True,True,False,False,both_singular,0.0018000000000000004,-0.004199999999999995
21,92623021,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.086,0.0863,0.021,0.0208,-0.014,-0.0137,0.0633,0.0499,0.0264,0.0,0.0,0.0,-1,NA,1.2651e-12,0.0,False,True,False,False,True,True,True,False,both_singular,0.0003000000000000086,-0.00020000000000000226
21,92623021,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.0854,0.0857,0.0209,0.0208,-0.0146,-0.0143,0.063,0.0526,0.0208,3.1038e-07,0.0,0.0,-1,NA,-5.421e-20,9.6335e-14,False,True,False,False,True,True,True,False,both_singular,0.0002999999999999947,-9.99999999999994e-05
22,92623022,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.073,0.0698,0.0929,0.086,-0.027,-0.0302,0.0,0.1757,0.1879,0.0721,1.2656e-07,0.0,NaN,NA,0.0,0.0052,False,False,True,False,True,True,False,False,both_singular,-0.0031999999999999945,-0.006900000000000003
22,92623022,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.073,0.0698,0.0929,0.086,-0.027,-0.0302,0.0,0.1757,0.1879,0.0721,1.2656e-07,0.0,NaN,NA,0.0,0.0052,False,False,True,False,True,True,False,False,both_singular,-0.0031999999999999945,-0.006900000000000003
22,92623022,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.1025,0.1028,0.021,0.0208,0.0025,0.0028,0.0548,0.0402,0.0265,0.0,0.0231,0.0231,-1,NA,1.0187e-13,0.0,False,True,False,False,False,False,True,False,both_singular,0.0003000000000000086,-0.00020000000000000226
22,92623022,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.1034,0.1037,0.021,0.0208,0.0034,0.0037,0.0553,0.0419,0.0247,0.0,0.0249,0.0249,-1,NA,0.0,0.0,False,True,False,False,False,False,True,False,both_singular,0.0002999999999999947,-0.00020000000000000226
23,92623023,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.1479,0.1479,0.0855,0.0855,0.0479,0.0479,0.0,0.0,1.146e-07,0.0,0.2098,0.2098,NaN,NA,0.0,0.0,True,True,True,True,False,False,False,False,both_singular,0.0,0.0
23,92623023,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.1479,0.1479,0.0855,0.0855,0.0479,0.0479,0.0,0.0,1.146e-07,0.0,0.2098,0.2098,NaN,NA,0.0,0.0,True,True,True,True,False,False,False,False,both_singular,0.0,0.0
23,92623023,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.1017,0.1018,0.0209,0.0208,0.0017,0.0018,0.034,0.0178,0.0167,0.0,0.0,2.6714e-07,-1,NA,0.0,0.0,False,True,False,False,True,True,True,False,both_singular,0.00010000000000000286,-9.99999999999994e-05
23,92623023,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.1026,0.1027,0.0209,0.0208,0.0026,0.0027,0.0347,0.0194,0.0166,0.0,0.0,0.0,-1,NA,5.0651e-14,0.0,False,True,False,False,True,True,True,False,both_singular,0.00010000000000000286,-9.99999999999994e-05
24,92623024,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.1045,0.1045,0.085,0.085,0.0045,0.0045,0.0,0.0,1.228e-07,0.0,0.0,0.0,NaN,NA,0.0,0.0,True,True,True,True,True,True,False,False,both_singular,0.0,0.0
24,92623024,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.1008,0.1008,0.0849,0.0849,0.0008,0.0008,0.0,0.0,5.4387e-08,0.0,0.0,0.0,NaN,NA,0.0,0.0,True,True,True,True,True,True,False,False,both_singular,0.0,0.0
24,92623024,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.0874,0.0874,0.0207,0.0207,-0.0126,-0.0126,1.8022e-06,0.0,1.8977e-06,4.8054e-07,0.0341,0.0341,-1,NA,0.0,0.0,True,True,True,True,False,False,True,False,both_singular,0.0,0.0
24,92623024,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.0876,0.0876,0.0207,0.0207,-0.0124,-0.0124,4.1303e-06,0.0,5.9563e-06,0.0,0.0297,0.0297,-1,NA,-1.6156e-27,0.0,True,True,True,True,False,False,True,False,both_singular,0.0,0.0
25,92623025,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.1247,0.1241,0.0866,0.0854,0.0247,0.0241,0.0,0.0985,0.0694,2.1341e-07,0.0,1.9057e-07,NaN,NA,0.0,4.5543e-14,False,True,True,False,True,True,False,False,both_singular,-0.0006000000000000033,-0.0011999999999999927
25,92623025,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.1212,0.1204,0.087,0.0854,0.0212,0.0204,0.0,0.1013,0.0828,0.0,0.0,0.0,NaN,NA,0.0,0.0,False,True,True,False,True,True,False,False,both_singular,-0.000800000000000009,-0.0015999999999999903
25,92623025,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.102,0.102,0.021,0.0212,0.002,0.002,0.0103,0.0,0.0324,0.0408,0.0174,0.0172,1,NA,1.1619e-10,0.0,False,False,False,True,False,False,True,False,both_singular,0.0,0.0001999999999999988
25,92623025,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.1016,0.1016,0.0214,0.0214,0.0016,0.0016,0.0,0.0,0.0509,0.0509,0.015,0.015,NaN,NA,0.0,1.9866e-10,False,False,True,True,False,False,False,False,both_singular,0.0,0.0
26,92623026,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.1257,0.1252,0.0882,0.086,0.0257,0.0252,0.0334,0.0,0.1034,0.0399,0.0,0.0,-1,NA,2.1684e-19,0.0,False,False,False,True,True,True,True,False,both_singular,-0.0005000000000000004,-0.0022000000000000075
26,92623026,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.126,0.1256,0.0891,0.0864,0.026,0.0256,0.0387,0.0,0.1195,0.056,0.0,1.7417e-07,-1,NA,0.0,0.0,False,False,False,True,True,True,True,False,both_singular,-0.00040000000000001146,-0.002699999999999994
26,92623026,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.0784,0.0784,0.0226,0.0219,-0.0216,-0.0216,0.0183,0.0,0.0884,0.0687,0.0713,0.0714,-1,NA,0.0,0.0,False,False,False,True,False,False,True,False,both_singular,0.0,-0.0006999999999999992
26,92623026,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.0783,0.0783,0.0228,0.0221,-0.0217,-0.0217,0.0169,0.0,0.0921,0.0741,0.0737,0.0738,-1,NA,5.0578e-11,0.0,False,False,False,True,False,False,True,False,both_singular,0.0,-0.0006999999999999992
27,92623027,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.2996,0.3057,0.0921,0.0862,0.1996,0.2057,0.2209,0.1411,0.1585,0.0,0.1053,0.1148,-1,NA,-3.4694e-18,0.0,False,True,False,False,False,False,True,False,both_singular,0.00610000000000005,-0.0059000000000000025
27,92623027,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.2959,0.302,0.0916,0.0862,0.1959,0.202,0.2218,0.1447,0.1526,0.0,0.0918,0.1025,-1,NA,7.7022e-16,0.0,False,True,False,False,False,False,True,False,both_singular,0.006099999999999994,-0.005400000000000002
27,92623027,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.096,0.0963,0.0231,0.0208,-0.004,-0.0037,0.0656,0.0,0.1013,0.0,0.0618,0.0621,-1,NA,-4.3368e-19,0.0,False,True,False,True,False,False,True,False,both_singular,0.0002999999999999947,-0.0023
27,92623027,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.0956,0.0959,0.0231,0.0208,-0.0044,-0.0041,0.0647,0.0,0.1011,1.9539e-07,0.062,0.0622,-1,NA,-4.3368e-19,0.0,False,True,False,True,False,False,True,False,both_singular,0.0002999999999999947,-0.0023
28,92623028,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.0702,0.0697,0.0933,0.0923,-0.0298,-0.0303,0.0,0.0633,0.1934,0.1814,0.0,1.7135e-08,NaN,NA,0.0,0.004,False,False,True,False,True,True,False,False,both_singular,-0.0005000000000000004,-0.0010000000000000009
28,92623028,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.0697,0.0691,0.0928,0.0914,-0.0303,-0.0309,0.0,0.0739,0.1881,0.1709,0.0,0.0,NaN,NA,0.0,0.0055,False,False,True,False,True,True,False,False,both_singular,-0.0006000000000000033,-0.0013999999999999985
28,92623028,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.0882,0.0881,0.0215,0.0213,-0.0118,-0.0119,0.0,0.0231,0.0538,0.0483,5.4771e-07,0.0,NaN,NA,0.0,0.0005,False,False,True,False,True,True,False,False,both_singular,-0.00010000000000000286,-0.0001999999999999988
28,92623028,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.087,0.0869,0.0216,0.0214,-0.013,-0.0131,0.0,0.0265,0.0589,0.0523,0.0,0.0,NaN,NA,0.0,0.0007,False,False,True,False,True,True,False,False,both_singular,-9.999999999998899e-05,-0.00020000000000000226
29,92623029,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,-0.037,-0.0349,0.0918,0.0851,-0.137,-0.1349,0.1201,0.0,0.1796,0.0635,0.0,0.0,-0.9997,NA,5.1978e-06,1.3177e-10,False,False,False,True,True,True,True,False,both_singular,0.0020999999999999977,-0.0067000000000000115
29,92623029,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,-0.0331,-0.0311,0.0922,0.0857,-0.1331,-0.1311,0.1211,0.0227,0.1843,0.0808,0.0,0.0,-0.9452,NA,0.0011,0.0005,False,False,False,False,True,True,False,False,both_singular,0.0019999999999999983,-0.006500000000000006
29,92623029,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.0858,0.0857,0.0222,0.022,-0.0142,-0.0143,0.0,0.0344,0.0789,0.072,0.0,0.0,NaN,NA,0.0,0.0012,False,False,True,False,True,True,False,False,both_singular,-0.00010000000000000286,-0.00020000000000000226
29,92623029,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.0854,0.0853,0.0223,0.0221,-0.0146,-0.0147,0.0,0.0329,0.08,0.0739,0.0,0.0,NaN,NA,0.0,0.0011,False,False,True,False,True,True,False,False,both_singular,-0.00010000000000000286,-0.0001999999999999988
30,92623030,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.1265,0.1261,0.0881,0.0869,0.0265,0.0261,0.016,0.0,0.0842,0.0466,0.1382,0.1389,-1,NA,5.421e-20,0.0,False,False,False,True,False,False,True,False,both_singular,-0.00040000000000001146,-0.0011999999999999927
30,92623030,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.1265,0.1261,0.0881,0.0869,0.0265,0.0261,0.016,0.0,0.0842,0.0466,0.1382,0.1389,-1,NA,5.421e-20,0.0,False,False,False,True,False,False,True,False,both_singular,-0.00040000000000001146,-0.0011999999999999927
30,92623030,P6_C_HIGH_RHO0,100,400,0.0,True,False,True,True,0.1135,0.1134,0.0213,0.0211,0.0135,0.0134,0.0,0.0327,0.0466,0.032,0.0452,0.0453,NaN,NA,0.0,0.001,False,False,True,False,False,False,False,False,M1_singular_to_M2_nonsingular,-0.00010000000000000286,-0.0001999999999999988
30,92623030,P6_D_HIGH_RHO30,100,400,0.3,True,False,True,True,0.1142,0.1141,0.0214,0.0211,0.0142,0.0141,0.0,0.0338,0.0509,0.0369,0.0452,0.0453,NaN,NA,0.0,0.0011,False,False,True,False,False,False,False,False,M1_singular_to_M2_nonsingular,-0.00010000000000000286,-0.0002999999999999982
