condition,n,mean_realized_corr,mean_overall_self_prop,median_min_model_n_self,median_min_model_n_control,mean_corr_model_selfprop_X,singular_fit_rate,slope_zero_rate,model_zero_rate,item_zero_rate,corr_boundary_rate,mean_estimate,mean_bias,median_se
OBS_060,30,0.5954819530432018,0.5011249999999999,5.0,5.0,0.9837792370705417,1.0,0.26666666666666666,0.4666666666666667,0.5,0.5333333333333333,0.12127,0.021270000000000004,0.1074
OBS_030,30,0.2949439286000925,0.5025,22.5,24.0,0.9496943952716819,1.0,0.36666666666666664,0.6333333333333333,0.4666666666666667,0.6,0.10306333333333334,0.0030633333333333324,0.0903
RAND_000,30,-0.0056537394215215855,0.5009444444444445,40.0,39.5,-0.05495672465717551,1.0,0.3,0.5666666666666667,0.43333333333333335,0.5,0.10919333333333332,0.009193333333333333,0.0874
BAL_050,30,-1.623474477615141e-19,0.5,50.0,50.0,,1.0,0.26666666666666666,0.5,0.43333333333333335,0.6666666666666666,0.11475666666666667,0.014756666666666668,0.0876
